id_order,manual_categories
299571,accessories
299600,accessories
299600,accessories
299600,accessories
299610,accessories
299600,pc
299610,accessories
299600,accessories
298391,pc
298391,extended warranty
299634,accessories
299638,accessories
299571,accessories
299634,accessories
299655,tablet
299655,accessories
299681,accessories
299681,accessories
299696,accessories
299710,accessories
299710,accessories
299719,accessories
299719,accessories
299696,accessories
299850,accessories
299850,accessories
299858,accessories
299858,accessories
299867,accessories
299867,accessories
299918,accessories
299918,accessories
299944,accessories
299944,accessories
299944,accessories
299959,accessories
299959,accessories
299959,accessories
296502,accessories
296502,accessories
300033,accessories
300029,accessories
300033,accessories
300040,accessories
300040,accessories
300055,accessories
300055,accessories
299404,accessories
299404,accessories
299404,accessories
299404,accessories
300055,accessories
300055,accessories
298161,extended warranty
300152,smartphone
300152,smartphone
298161,accessories
300158,other
300158,accessories
300173,accessories
300173,accessories
300179,accessories
300179,accessories
300179,accessories
300188,accessories
300188,accessories
300192,accessories
300192,accessories
300192,accessories
300179,accessories
300203,accessories
300203,accessories
300213,accessories
300213,accessories
300281,accessories
300257,accessories
300283,accessories
300283,accessories
300283,accessories
300283,accessories
300283,accessories
300290,accessories
300257,accessories
300290,accessories
300309,accessories
300309,accessories
300310,display
300310,accessories
300309,accessories
300314,accessories
300314,accessories
300315,accessories
300326,accessories
300331,accessories
300326,accessories
300368,accessories
300315,accessories
300385,accessories
300385,accessories
300368,accessories
300368,accessories
300391,accessories
300421,accessories
300421,accessories
300430,accessories
300430,accessories
300435,other
300439,accessories
300439,accessories
300439,accessories
300443,accessories
300444,accessories
300444,accessories
300446,accessories
300446,accessories
300455,accessories
300443,other
300443,other
300467,accessories
300446,accessories
300467,accessories
300435,accessories
300435,accessories
300391,accessories
300495,accessories
300495,accessories
300495,accessories
300495,accessories
300506,accessories
300506,accessories
300513,accessories
300455,accessories
300513,accessories
300532,accessories
300532,accessories
300541,accessories
300541,accessories
300541,accessories
300590,accessories
300281,accessories
300590,accessories
300281,accessories
300626,accessories
300626,accessories
300626,accessories
300646,accessories
300646,other
300656,accessories
300646,accessories
300671,accessories
300656,accessories
300699,accessories
300699,accessories
300711,accessories
300711,accessories
300720,accessories
300713,accessories
300713,accessories
300726,accessories
300726,accessories
300736,accessories
300737,accessories
300737,accessories
300720,accessories
300726,accessories
300736,accessories
300736,accessories
300737,accessories
300760,accessories
300760,accessories
300778,tablet
300778,accessories
300778,accessories
300778,accessories
300778,accessories
300819,accessories
300819,accessories
300826,accessories
300826,accessories
300846,accessories
300848,accessories
300848,accessories
300826,accessories
300846,accessories
300881,accessories
300881,accessories
300876,accessories
300881,accessories
300876,accessories
300906,accessories
300906,accessories
300979,accessories
300979,accessories
300989,accessories
300989,accessories
300326,accessories
301080,accessories
301080,accessories
301079,accessories
301079,accessories
301097,accessories
301106,other
301106,accessories
301140,accessories
301140,accessories
301140,accessories
301184,accessories
301184,accessories
301198,accessories
301198,accessories
301198,accessories
301204,accessories
301204,accessories
301204,tablet
301243,accessories
301243,accessories
301247,accessories
301232,accessories
296229,accessories
296229,accessories
301276,accessories
301276,accessories
300331,accessories
301325,accessories
301325,accessories
301344,other
301344,accessories
301234,accessories
301234,accessories
301300,display
301300,accessories
301383,accessories
301387,accessories
301395,accessories
301383,accessories
301387,accessories
301395,accessories
301395,accessories
301395,other
301430,accessories
301451,accessories
301451,accessories
301430,accessories
300671,accessories
301512,accessories
301512,accessories
301247,accessories
301517,accessories
301563,accessories
301563,accessories
301517,accessories
301587,accessories
301587,accessories
301587,accessories
301607,accessories
301607,accessories
301607,accessories
301628,accessories
301628,accessories
301628,accessories
301636,other
301636,accessories
301646,accessories
301649,accessories
301646,accessories
301649,accessories
301230,accessories
301230,accessories
301711,accessories
301726,accessories
301733,accessories
301733,smartphone
301744,accessories
301744,accessories
301726,accessories
301752,accessories
297076,accessories
297076,accessories
297076,accessories
301789,accessories
301789,accessories
301789,accessories
301814,accessories
301814,accessories
301854,accessories
301919,accessories
301198,accessories
301919,accessories
301967,accessories
301967,accessories
301975,accessories
302002,accessories
302002,accessories
302016,accessories
302016,accessories
302044,accessories
302044,accessories
301584,accessories
302069,accessories
302095,accessories
302095,accessories
302147,accessories
302147,accessories
302147,accessories
301711,accessories
302161,accessories
302161,accessories
302171,accessories
302171,accessories
302198,accessories
302210,accessories
302289,accessories
302289,accessories
302331,smartphone
302331,accessories
302331,smartphone
302374,accessories
302374,accessories
302411,accessories
302431,accessories
302450,accessories
302470,accessories
302470,accessories
302512,accessories
302512,accessories
302411,accessories
302580,accessories
302580,accessories
302586,laptop
302586,accessories
302641,accessories
302655,accessories
302655,accessories
302714,accessories
302714,accessories
302717,accessories
302717,accessories
302198,accessories
302765,accessories
302768,accessories
302765,accessories
302774,accessories
302774,accessories
302768,accessories
302774,accessories
302161,accessories
302872,accessories
302872,accessories
302876,accessories
302890,display
302922,accessories
302922,accessories
303015,accessories
303015,accessories
303015,accessories
303015,accessories
301975,accessories
301975,accessories
303037,accessories
301975,accessories
281497,display
281497,accessories
281497,accessories
303120,display
303120,accessories
303140,accessories
303140,other
303158,accessories
303198,accessories
303205,accessories
303205,accessories
303230,accessories
303232,display
303230,accessories
303234,tablet
303234,accessories
303232,accessories
303259,accessories
303259,accessories
303264,accessories
303264,accessories
303264,accessories
303297,accessories
303297,accessories
303315,accessories
303316,accessories
303316,accessories
303315,accessories
303346,accessories
303364,accessories
303366,accessories
303366,accessories
303367,accessories
303364,accessories
303367,accessories
303346,accessories
303376,accessories
303434,accessories
303434,accessories
303434,accessories
303455,accessories
303455,accessories
300311,accessories
300311,accessories
299701,accessories
299701,accessories
303554,accessories
303554,accessories
303556,accessories
303556,accessories
302450,accessories
303599,accessories
303599,accessories
303621,accessories
303621,accessories
302586,accessories
303643,accessories
303703,accessories
303703,accessories
303704,accessories
303704,accessories
303756,accessories
303756,accessories
303790,accessories
303790,accessories
303822,accessories
303822,accessories
302876,accessories
303851,accessories
302210,accessories
302210,accessories
303878,accessories
303878,accessories
303827,laptop
303827,accessories
303935,accessories
303935,accessories
303935,accessories
303943,accessories
303991,accessories
303943,accessories
303978,accessories
303991,accessories
303978,accessories
304027,display
304027,accessories
303643,accessories
304128,accessories
303643,accessories
304155,accessories
304155,accessories
304165,accessories
304165,accessories
304175,accessories
304182,tablet
304182,accessories
304175,accessories
304188,accessories
304188,accessories
304188,accessories
304197,accessories
304128,accessories
304197,accessories
303542,display
303542,display
304236,accessories
304236,accessories
304278,accessories
304278,accessories
304278,accessories
304299,laptop
304299,accessories
304307,accessories
304324,accessories
304328,accessories
304328,accessories
304347,accessories
304350,accessories
304347,accessories
303599,accessories
304350,accessories
304410,accessories
304410,accessories
304424,accessories
304424,accessories
304446,accessories
304446,accessories
304446,accessories
304446,accessories
304470,accessories
304470,accessories
304505,accessories
304505,smartphone
304505,accessories
304523,accessories
304525,accessories
304523,accessories
304525,accessories
304527,accessories
304527,accessories
304548,accessories
304548,accessories
304324,accessories
304564,display
304324,accessories
304564,accessories
304324,accessories
304324,accessories
303521,accessories
303521,accessories
304576,accessories
304576,accessories
304603,accessories
304608,accessories
304608,accessories
304651,accessories
304660,accessories
304660,accessories
304660,accessories
304651,accessories
304662,accessories
304662,accessories
296253,accessories
296253,accessories
304714,accessories
304714,accessories
296253,accessories
296253,accessories
304726,accessories
304726,accessories
304726,accessories
304733,accessories
304718,accessories
304718,accessories
304733,accessories
304733,accessories
304788,accessories
304788,accessories
304813,accessories
304813,smartphone
304830,accessories
304830,accessories
304852,accessories
304852,accessories
304859,accessories
304859,accessories
304603,accessories
304603,accessories
304603,accessories
304875,accessories
304877,accessories
304875,accessories
304890,accessories
304890,accessories
303037,accessories
304995,accessories
304995,accessories
304995,accessories
305020,accessories
305020,accessories
305056,accessories
305056,accessories
305067,accessories
305067,accessories
305126,accessories
305020,accessories
305128,smartphone
305126,accessories
305140,accessories
305140,accessories
305176,accessories
305198,accessories
305198,accessories
305176,accessories
305240,accessories
305240,accessories
305284,accessories
305287,accessories
305287,accessories
305284,display
289685,accessories
305329,accessories
305334,accessories
305349,accessories
305349,accessories
305334,accessories
305334,accessories
305334,accessories
305334,accessories
305334,accessories
305368,accessories
305368,accessories
305368,accessories
305396,accessories
305396,accessories
305414,accessories
305414,accessories
305421,accessories
305421,accessories
304877,accessories
305432,accessories
305433,accessories
305433,accessories
305104,accessories
305104,accessories
305432,accessories
305445,accessories
305450,accessories
305445,service
305474,tablet
305474,accessories
274550,accessories
305450,accessories
274550,accessories
274550,accessories
305496,accessories
305496,accessories
305520,accessories
305520,accessories
305520,accessories
305020,accessories
305542,accessories
305542,accessories
305556,accessories
305556,accessories
305556,accessories
301584,accessories
301584,accessories
305602,extended warranty
305602,extended warranty
305620,accessories
304924,accessories
304924,accessories
304924,accessories
305644,accessories
304924,accessories
305644,accessories
304924,accessories
305654,accessories
305654,accessories
305687,accessories
305687,accessories
305691,accessories
305687,accessories
301097,accessories
305691,accessories
301097,tablet
305695,accessories
305701,accessories
305701,accessories
305695,accessories
305695,accessories
305736,accessories
305755,accessories
305755,accessories
305762,accessories
305762,accessories
305768,accessories
305775,tablet
305775,accessories
274550,accessories
305736,accessories
305808,accessories
305808,accessories
305815,accessories
301587,accessories
305824,accessories
305824,accessories
305824,accessories
305824,accessories
304924,accessories
301587,accessories
305824,accessories
303851,accessories
284739,accessories
284739,accessories
305852,accessories
284739,accessories
305852,accessories
305861,display
305861,accessories
302641,accessories
305815,accessories
305873,accessories
305873,accessories
305878,accessories
305883,accessories
305887,accessories
305878,accessories
305883,accessories
305903,accessories
305936,accessories
305936,accessories
305973,display
305973,accessories
305903,accessories
305973,accessories
305768,accessories
306002,accessories
306002,accessories
306002,accessories
306019,accessories
306019,accessories
305768,accessories
306025,accessories
306025,display
306037,accessories
306037,accessories
306037,accessories
306053,accessories
306054,accessories
306054,accessories
306055,accessories
306055,accessories
306055,accessories
306063,accessories
306063,accessories
305620,accessories
305620,accessories
305620,accessories
289685,accessories
305887,accessories
306117,accessories
306117,accessories
306122,accessories
306122,accessories
306122,accessories
306135,tablet
306142,accessories
306142,accessories
306142,accessories
306135,accessories
289685,accessories
306152,accessories
303198,accessories
303198,accessories
306183,accessories
306183,accessories
306223,accessories
306223,accessories
306242,accessories
306242,accessories
306245,accessories
306245,accessories
306272,accessories
306272,accessories
306296,accessories
306296,accessories
306303,accessories
306303,accessories
306334,accessories
306334,accessories
306359,accessories
306359,accessories
306386,accessories
306386,accessories
306402,accessories
306402,accessories
306419,accessories
306421,accessories
306423,accessories
306423,accessories
306423,accessories
306423,accessories
306421,accessories
306419,accessories
306434,accessories
306434,accessories
306436,display
306440,accessories
306419,accessories
306436,accessories
306440,accessories
306456,accessories
306456,accessories
306459,display
306460,accessories
306053,accessories
306459,accessories
306490,accessories
306460,accessories
306501,accessories
306541,accessories
306541,accessories
306543,accessories
306543,accessories
306490,accessories
306557,display
306559,accessories
306559,accessories
306593,accessories
306593,accessories
306553,accessories
306553,accessories
306593,tablet
306593,accessories
306622,accessories
306622,accessories
306655,accessories
306655,accessories
306655,accessories
306655,accessories
306677,accessories
306677,service
306685,accessories
306677,accessories
306685,accessories
306697,accessories
306697,accessories
306738,accessories
306738,accessories
306743,accessories
306752,accessories
306752,accessories
306766,accessories
306766,tablet
306820,accessories
306820,accessories
303376,accessories
306884,accessories
306884,accessories
306152,accessories
306907,other
306907,accessories
306884,accessories
306907,accessories
307007,accessories
307007,accessories
307012,accessories
307012,accessories
307012,accessories
307039,accessories
307039,accessories
307043,accessories
307043,accessories
307032,accessories
307032,accessories
307050,accessories
307050,accessories
307073,laptop
307074,accessories
307076,accessories
307076,accessories
307094,accessories
307094,accessories
307073,accessories
307107,accessories
307102,accessories
307112,pc
307112,display
307112,accessories
307118,accessories
307121,accessories
307117,accessories
307117,accessories
307128,accessories
307121,accessories
307128,other
307137,accessories
307137,accessories
307137,accessories
307137,accessories
307143,accessories
307143,accessories
307179,accessories
307182,accessories
307179,accessories
307204,accessories
307204,accessories
307182,accessories
307238,accessories
307238,accessories
307241,accessories
307241,accessories
307253,pc
307255,accessories
307257,accessories
307255,accessories
307257,accessories
307255,accessories
307256,accessories
307253,accessories
307287,accessories
307287,accessories
306371,accessories
306371,accessories
307338,accessories
307345,accessories
307345,accessories
307338,accessories
307378,accessories
307367,accessories
307378,accessories
307367,accessories
307394,accessories
307394,accessories
307378,accessories
307440,accessories
307445,accessories
307445,accessories
307440,accessories
307457,accessories
307457,accessories
307469,accessories
307469,display
307504,accessories
307525,accessories
307525,accessories
307537,accessories
307531,accessories
307540,accessories
307540,accessories
307531,accessories
307537,accessories
307582,accessories
307582,accessories
307540,accessories
307540,accessories
307616,tablet
307616,accessories
307605,accessories
307641,accessories
307641,accessories
307605,accessories
307671,accessories
307671,accessories
307678,accessories
307678,accessories
307706,accessories
307706,accessories
307706,accessories
307710,accessories
307710,accessories
307605,accessories
305396,accessories
307788,accessories
307788,accessories
307797,accessories
307797,accessories
307797,accessories
306513,accessories
306513,accessories
306513,accessories
307835,pc
307841,accessories
307841,accessories
307846,extended warranty
307846,extended warranty
307868,accessories
306557,accessories
307895,accessories
307895,accessories
307868,accessories
307900,accessories
307900,accessories
307908,accessories
307908,accessories
307920,accessories
307908,accessories
307938,accessories
307938,accessories
307948,pc
307948,display
307948,accessories
307948,accessories
307948,accessories
307948,accessories
307948,display
307986,accessories
307986,accessories
308008,smartwhatch
308022,tablet
308022,accessories
308008,accessories
308025,accessories
254816,accessories
308025,accessories
254816,accessories
254816,accessories
308025,accessories
304468,accessories
304468,accessories
308025,accessories
308074,accessories
308074,accessories
308074,accessories
308079,accessories
308089,accessories
308106,accessories
308109,accessories
308106,accessories
308106,accessories
308109,accessories
308109,accessories
308120,accessories
308120,accessories
308126,pc
308126,accessories
308089,accessories
308079,accessories
308139,accessories
308141,extended warranty
308168,accessories
308168,accessories
307107,accessories
307107,accessories
308119,accessories
308119,accessories
308193,laptop
308193,accessories
308222,accessories
308222,accessories
308252,accessories
308316,accessories
308316,accessories
308316,accessories
308395,accessories
308395,accessories
308402,accessories
308402,accessories
305433,accessories
305433,accessories
308435,accessories
308435,accessories
307256,accessories
